"Tana","All Arguments (Unique Count)","Chumra Arguments (Unique Count)","BHB Arguments (Unique Count)","Chayav Arguments (Unique Count)","All Arguments (Win Rate)","Chumra Arguments (Win Rate)","BHB Arguments (Win Rate)","Chayav Arguments (Win Rate)","Chumra ex BHB Arguments (Win Rate)","All Arguments (Win Rate, No Ties)","Chumra Arguments (Win Rate, No Ties)","BHB Arguments (Win Rate, No Ties)","Chayav Arguments (Win Rate, No Ties)","Chumra ex BHB Arguments (Win Rate, No Ties)"
"Beit Hillel",221,189,14,3,0.9,0.24,0.3,0.25,0.2,0.92,0.23,0.29,0.25,0.2
"Beit Shamai",230,197,15,3,0.12,0.78,0.69,1,0.82,0.05,0.78,0.71,1,0.82
"Chachamim",474,409,31,15,0.9,0.43,0.42,0.47,0.42,0.93,0.43,0.42,0.47,0.42
"Rabbi Akiva",254,190,30,9,0.52,0.57,0.44,0.58,0.57,0.53,0.56,0.43,0.58,0.56
"Rabbi Dosa ben Harkinas",19,14,2,1,0.1,0.19,0,1,0.07,0.05,0.19,0,1,0.07
"Rabbi Elazar",71,60,2,2,0.29,0.46,0,0.62,0.45,0.19,0.46,0,1,0.45
"Rabbi Elazar ben Azarya",27,24,2,2,0.37,0.33,0.33,0.75,0.3,0.32,0.34,0.33,0.75,0.31
"Rabbi Elazar ben Tzadok",17,16,2,0,0.28,0.41,0.5,0.5,0.39,0.12,0.41,0.5,NA,0.4
"Rabbi Eliezer",271,228,26,7,0.21,0.53,0.66,0.6,0.56,0.15,0.53,0.68,0.62,0.55
"Rabbi Eliezer ben Yakov",27,24,0,0,0.47,0.41,0.5,0.5,0.41,0.46,0.41,NA,NA,0.41
"Rabbi Gamliel",63,48,5,4,0.47,0.4,0.5,1,0.39,0.47,0.4,0.5,1,0.39
"Rabbi Meir",336,278,24,19,0.21,0.64,0.59,0.57,0.65,0.14,0.63,0.6,0.59,0.65
"Rabbi Shimon",324,279,19,9,0.25,0.31,0.41,0.38,0.3,0.19,0.32,0.4,0.36,0.3
"Rabbi Shimon ben Gamliel",77,44,3,6,0.39,0.32,0.1,0.67,0.26,0.38,0.31,0,0.67,0.26
"Rabbi Tarfon",51,36,12,8,0.35,0.54,0.66,0.44,0.63,0.3,0.54,0.69,0.43,0.64
"Rabbi Yehoshua",123,108,12,2,0.48,0.5,0.44,0,0.5,0.48,0.5,0.42,0,0.5
"Rabbi Yehuda",602,474,43,32,0.29,0.49,0.6,0.37,0.49,0.25,0.49,0.61,0.36,0.49
"Rabbi Yehuda Hanasi",31,24,1,3,0.24,0.54,0.25,0,0.52,0.18,0.54,0,0,0.52
"Rabbi Yishmael",56,41,4,1,0.33,0.65,0.67,1,0.7,0.25,0.65,0.67,1,0.71
"Rabbi Yochanan ben Nuri",40,33,2,1,0.28,0.42,0.5,0.5,0.41,0.22,0.43,0.5,0.5,0.43
"Rabbi Yosi",333,283,24,11,0.44,0.43,0.26,0.58,0.4,0.43,0.43,0.19,0.6,0.4
"Rabbi Yosi Haglili",24,20,4,1,0.08,0.61,0.6,0,0.67,0,0.61,0.6,0,0.67
"Shimon ben Azai",16,10,0,0,0.43,0.86,0.5,0.5,0.86,0.39,0.84,NA,NA,0.84
"Stam",32,28,1,0,0.62,0.5,0,0.5,0.49,0.64,0.5,0,NA,0.48
"Tana Kama",1252,996,90,57,0.82,0.55,0.54,0.52,0.56,0.84,0.55,0.54,0.53,0.56
