"Name","TotalDisputes","TotalDisputesAmongBig25","Tana Kama","Stam","Shimon ben Azai","Shamai","Rabbi Yosi Haglili","Rabbi Yosi","Rabbi Yochanan ben Nuri","Rabbi Yishmael","Rabbi Yehuda Hanasi","Rabbi Yehuda","Rabbi Yehoshua","Rabbi Tarfon","Rabbi Shimon ben Gamliel","Rabbi Shimon","Rabbi Meir","Rabbi Gamliel","Rabbi Eliezer ben Yakov","Rabbi Eliezer","Rabbi Elazar ben Tzadok","Rabbi Elazar ben Azarya","Rabbi Elazar","Rabbi Akiva","Chachamim","Beit Shamai","Beit Hillel"
"Beit Hillel",222,221,2,0,0,4,0,2,1,0,0,1,0,2,1,0,0,2,0,2,0,0,0,9,0,195,0
"Beit Shamai",12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Chachamim",479,435,12,1,0,3,2,8,1,9,13,63,14,7,1,24,125,14,3,83,2,5,1,40,0,3,1
"Rabbi Akiva",155,139,5,2,4,0,10,7,9,19,0,6,8,19,0,6,2,3,1,22,0,3,2,0,6,3,2
"Rabbi Elazar",13,13,7,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Rabbi Elazar ben Azarya",10,10,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"Rabbi Elazar ben Tzadok",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Eliezer",44,40,9,0,1,1,0,0,0,0,0,0,16,0,1,0,2,1,0,0,0,1,0,4,4,0,0
"Rabbi Eliezer ben Yakov",12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Rabbi Gamliel",34,32,4,0,0,0,0,0,1,0,0,0,10,0,0,2,0,0,0,7,1,0,0,3,2,1,1
"Rabbi Meir",49,48,5,0,0,0,0,7,1,0,0,14,1,0,0,11,0,0,0,1,1,0,0,1,5,0,1
"Rabbi Shimon",66,66,21,0,0,0,0,2,0,0,0,18,0,0,0,0,15,2,1,1,0,1,0,3,2,0,0
"Rabbi Shimon ben Gamliel",30,28,22,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"Rabbi Tarfon",16,15,2,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,5,0,0,0
"Rabbi Yehoshua",63,61,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,51,0,1,0,2,1,0,0
"Rabbi Yehuda",155,151,53,3,0,0,0,7,0,0,0,0,0,0,0,22,51,1,1,4,1,0,4,0,4,0,0
"Rabbi Yehuda Hanasi",5,5,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Rabbi Yishmael",14,13,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,3,1,0,0
"Rabbi Yochanan ben Nuri",9,9,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0
"Rabbi Yosi",152,147,30,1,0,0,1,0,0,0,0,39,1,0,1,16,48,0,0,4,1,0,1,2,1,1,0
"Rabbi Yosi Haglili",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shamai",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Shimon ben Azai",7,7,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Stam",24,22,0,0,0,0,0,1,0,0,0,6,0,1,0,0,3,4,0,1,0,0,1,2,0,3,0
"Tana Kama",1107,1034,0,4,5,1,10,162,19,11,9,316,11,7,46,188,46,10,7,65,8,8,43,50,3,5,0
